step,layer,henrici,curvature,excess_noise,frobenius,alpha,beta
500,0,0.740455824318846,10.291074752807617,134.77217864990234,15.678359985351562,1.0,0.0
500,1,0.7417628476410603,10.326292991638184,135.36395263671875,15.685056686401367,1.0,0.0
500,2,0.7395223310483277,10.289106369018555,135.4392852783203,15.736952781677246,1.0,0.0
500,3,0.7404204329189313,10.29343318939209,136.84378051757812,15.79915714263916,1.0,0.0
500,4,0.7382471573142201,10.279793739318848,135.41378784179688,15.762657165527344,1.0,0.0
500,5,0.7388434020582368,10.19980525970459,134.86512756347656,15.717994689941406,1.0,0.0
1000,0,0.7423608565290933,10.188486099243164,133.5542755126953,15.56731128692627,1.0,0.0
1000,1,0.7450033136743025,10.877885818481445,137.63040161132812,15.747028350830078,1.0,0.0
1000,2,0.7469316852942713,11.424920082092285,140.87638092041016,15.890520095825195,1.0,0.0
1000,3,0.7480775613111259,11.811960220336914,143.93134307861328,16.037275314331055,1.0,0.0
1000,4,0.7491493723601397,12.370789527893066,146.18187713623047,16.139053344726562,1.0,0.0
1000,5,0.7526385473766705,13.37937068939209,150.16075897216797,16.28138542175293,1.0,0.0
1500,0,0.7468935240652171,10.352296829223633,134.63715362548828,15.535435676574707,1.0,0.0
1500,1,0.7550430310827944,12.714815139770508,146.80408477783203,16.047119140625,1.0,0.0
1500,2,0.7571445300747559,13.720240592956543,151.61296844482422,16.262563705444336,1.0,0.0
1500,3,0.7571508682996269,14.088520050048828,154.14168548583984,16.397493362426758,1.0,0.0
1500,4,0.7604427753639085,15.831954002380371,159.2300567626953,16.59381103515625,1.0,0.0
1500,5,0.770311226216189,19.465665817260742,170.7620849609375,16.964040756225586,1.0,0.0
2000,0,0.7524887841405996,10.707603454589844,137.39191436767578,15.57686996459961,1.0,0.0
2000,1,0.7614454098167169,14.621615409851074,156.38040924072266,16.422983169555664,1.0,0.0
2000,2,0.7647415552215319,16.02954864501953,163.93541717529297,16.74254035949707,1.0,0.0
2000,3,0.7654524660509779,16.62700653076172,166.76956939697266,16.870956420898438,1.0,0.0
2000,4,0.7696711158926636,19.018213272094727,172.36412811279297,17.05760383605957,1.0,0.0
2000,5,0.7815324226717284,25.431272506713867,187.6033477783203,17.525606155395508,1.0,0.0
2500,0,0.7569295874613485,11.019879341125488,140.0626220703125,15.635270118713379,1.0,0.0
2500,1,0.7667579714220114,16.29743003845215,166.11801147460938,16.80929946899414,1.0,0.0
2500,2,0.7711963474650486,18.191526412963867,177.5502471923828,17.2780704498291,1.0,0.0
2500,3,0.7725428798931161,19.08089256286621,181.12757873535156,17.420854568481445,1.0,0.0
2500,4,0.7772795559830282,21.670501708984375,185.82467651367188,17.537765502929688,1.0,0.0
2500,5,0.7896729027012303,30.693517684936523,202.42298126220703,18.016986846923828,1.0,0.0
3000,0,0.7613352681561762,11.404714584350586,143.6578140258789,15.743033409118652,1.0,0.0
3000,1,0.7715461033642607,17.735763549804688,175.70586395263672,17.180301666259766,1.0,0.0
3000,2,0.777492118806416,20.170719146728516,191.82523345947266,17.813791275024414,1.0,0.0
3000,3,0.7774251098593572,21.119873046875,195.34484100341797,17.978025436401367,1.0,0.0
3000,4,0.7823572998610631,23.946285247802734,198.63705444335938,18.014625549316406,1.0,0.0
3000,5,0.7960577856128975,34.925601959228516,215.95963287353516,18.460418701171875,1.0,0.0
3500,0,0.7646832168345288,11.790404319763184,146.83563995361328,15.846518516540527,1.0,0.0
3500,1,0.7760849088483258,19.14944839477539,185.98168182373047,17.57218360900879,1.0,0.0
3500,2,0.7825491378831138,22.0482177734375,206.06240844726562,18.343725204467773,1.0,0.0
3500,3,0.7815517486280804,23.100820541381836,209.9396209716797,18.539112091064453,1.0,0.0
3500,4,0.7865928461539874,25.98247528076172,212.14671325683594,18.516878128051758,1.0,0.0
3500,5,0.8015250082803681,39.154296875,229.43531799316406,18.897859573364258,1.0,0.0
4000,0,0.7678626389904846,12.13199520111084,149.60921478271484,15.929261207580566,1.0,0.0
4000,1,0.7804756410956051,20.329341888427734,196.11749267578125,17.943140029907227,1.0,0.0
4000,2,0.7859839587218933,23.545316696166992,218.93994140625,18.825572967529297,1.0,0.0
4000,3,0.7854676729832067,24.828031539916992,224.07032775878906,19.05738639831543,1.0,0.0
4000,4,0.7900382927224495,27.568578720092773,224.8940887451172,18.98193359375,1.0,0.0
4000,5,0.8060411180999675,42.92744827270508,241.924560546875,19.29668426513672,1.0,0.0
4500,0,0.7713818370875593,12.464156150817871,152.6806182861328,16.01852035522461,1.0,0.0
4500,1,0.7831267275386116,21.318204879760742,205.08424377441406,18.28662872314453,1.0,0.0
4500,2,0.7888933730332681,24.936372756958008,231.3699493408203,19.281230926513672,1.0,0.0
4500,3,0.7888654134966455,26.24945640563965,237.8859100341797,19.551544189453125,1.0,0.0
4500,4,0.7929099799518746,29.159069061279297,237.5515899658203,19.438148498535156,1.0,0.0
4500,5,0.8098899746291887,46.95372009277344,254.72225952148438,19.70638656616211,1.0,0.0
5000,0,0.7737709242125753,12.777874946594238,155.10601806640625,16.095401763916016,1.0,0.0
5000,1,0.7857712634765401,22.28883934020996,213.82229614257812,18.609289169311523,1.0,0.0
5000,2,0.7912727898603991,26.13340950012207,242.8641357421875,19.694969177246094,1.0,0.0
5000,3,0.7914915959451334,27.69855499267578,250.45315551757812,19.994781494140625,1.0,0.0
5000,4,0.7952938456990813,30.45388412475586,249.80728149414062,19.873510360717773,1.0,0.0
5000,5,0.8131412114434141,50.245731353759766,266.24403381347656,20.066600799560547,1.0,0.0
5500,0,0.7762325658467603,13.069581031799316,157.45909118652344,16.165597915649414,1.0,0.0
5500,1,0.788156158035154,23.247488021850586,222.3866729736328,18.920894622802734,1.0,0.0
5500,2,0.7932994749632392,27.132959365844727,253.390625,20.065872192382812,1.0,0.0
5500,3,0.7935994619931408,28.919878005981445,262.07456970214844,20.399093627929688,1.0,0.0
5500,4,0.7969959995952115,31.82427978515625,261.521728515625,20.290712356567383,1.0,0.0
5500,5,0.815558381950254,53.813743591308594,277.24964904785156,20.416458129882812,1.0,0.0
6000,0,0.778014299747359,13.334866523742676,159.19386291503906,16.217178344726562,1.0,0.0
6000,1,0.7898908772189892,23.983802795410156,229.80166625976562,19.19151496887207,1.0,0.0
6000,2,0.7941617703725141,27.960466384887695,262.3988952636719,20.397262573242188,1.0,0.0
6000,3,0.7955438369103559,30.131591796875,273.3600769042969,20.782764434814453,1.0,0.0
6000,4,0.7988789747553842,32.70030975341797,272.41014099121094,20.659990310668945,1.0,0.0
6000,5,0.8181183957004914,57.17576217651367,288.4988098144531,20.76134490966797,1.0,0.0
6500,0,0.7804301426698167,13.555498123168945,160.97825622558594,16.257339477539062,1.0,0.0
6500,1,0.7917742540779347,24.770689010620117,237.06613159179688,19.446130752563477,1.0,0.0
6500,2,0.7954797988067751,29.124191284179688,271.20787048339844,20.70245361328125,1.0,0.0
6500,3,0.7965317550305261,31.08964729309082,282.56141662597656,21.10343360900879,1.0,0.0
6500,4,0.8001737614780341,33.80400466918945,282.6301574707031,21.009929656982422,1.0,0.0
6500,5,0.8198545892516518,59.92715835571289,298.36639404296875,21.06871223449707,1.0,0.0
7000,0,0.7821768977161281,13.765972137451172,162.17613983154297,16.281269073486328,1.0,0.0
7000,1,0.7924873895427069,25.198307037353516,242.455078125,19.64821434020996,1.0,0.0
7000,2,0.7965383299882088,29.595909118652344,278.3924560546875,20.946990966796875,1.0,0.0
7000,3,0.796914214782968,31.6962947845459,290.0087890625,21.369474411010742,1.0,0.0
7000,4,0.8008306354073845,34.84481430053711,292.13352966308594,21.342714309692383,1.0,0.0
7000,5,0.8213479106406882,62.79081726074219,307.9674530029297,21.366086959838867,1.0,0.0
7500,0,0.7838824459806748,13.98941707611084,163.44628143310547,16.30933952331543,1.0,0.0
7500,1,0.7924466543881191,25.65275764465332,247.25216674804688,19.8426513671875,1.0,0.0
7500,2,0.7967546048266683,30.20549774169922,284.7441711425781,21.17885971069336,1.0,0.0
7500,3,0.7971284904752884,32.332122802734375,297.11297607421875,21.62381362915039,1.0,0.0
7500,4,0.8015110940561989,35.53432846069336,300.5387878417969,21.62921142578125,1.0,0.0
7500,5,0.8224835581885679,65.25959777832031,316.8719177246094,21.642858505249023,1.0,0.0
8000,0,0.7855661825793967,14.169992446899414,164.6657485961914,16.334983825683594,1.0,0.0
8000,1,0.7936726027469438,26.051740646362305,252.29251098632812,20.012922286987305,1.0,0.0
8000,2,0.7979863356011995,30.810319900512695,291.2629852294922,21.386850357055664,1.0,0.0
8000,3,0.7972366721274246,32.996761322021484,303.46649169921875,21.8508243560791,1.0,0.0
8000,4,0.8018485344954143,36.35368728637695,308.1040496826172,21.89051628112793,1.0,0.0
8000,5,0.8236744570351643,67.65145111083984,324.906982421875,21.883838653564453,1.0,0.0
8500,0,0.787565408219154,14.364481925964355,165.96351623535156,16.357593536376953,1.0,0.0
8500,1,0.7942843238618504,26.43537712097168,256.6024169921875,20.1676025390625,1.0,0.0
8500,2,0.7985292974187386,31.198749542236328,296.7584533691406,21.572999954223633,1.0,0.0
8500,3,0.7978146363898708,33.57021713256836,309.3700408935547,22.046375274658203,1.0,0.0
8500,4,0.8017601451164638,36.947113037109375,314.69139099121094,22.1257266998291,1.0,0.0
8500,5,0.8241178546758698,69.98454284667969,332.3408508300781,22.12086296081543,1.0,0.0
9000,0,0.7881532686559656,14.53857421875,166.85365295410156,16.389171600341797,1.0,0.0
9000,1,0.7942090610837483,26.672515869140625,259.67088317871094,20.28973960876465,1.0,0.0
9000,2,0.7991879848365073,31.60295867919922,301.6371612548828,21.731672286987305,1.0,0.0
9000,3,0.7978750449897133,33.97589874267578,313.9544677734375,22.207427978515625,1.0,0.0
