step,seed,group,perplexity,loss,ece,conf_on_errors,high_conf_error_frac
1000,456,D,348.1120578075322,5.8525244331359865,0.008111507369022747,0.14535375,0.0034230560595574343
2000,456,D,185.80027705125843,5.224672317504883,0.007629826340020873,0.16162221,0.00319131649930129
3000,456,D,138.45713450602798,4.930560779571533,0.013211824398414755,0.17984991,0.00523273298359341
4000,456,D,116.55702987891706,4.758380680084229,0.014192557073106961,0.17803234,0.006346580237454316
5000,456,D,103.12709131535553,4.63596212387085,0.011812586372973865,0.18514328,0.006921913665108606
6000,456,D,93.03359972719582,4.532960715293885,0.01221912428911995,0.18870184,0.0073253454171415865
7000,456,D,86.09449201458352,4.455445437431336,0.018525052612903076,0.18582627,0.007451010657330686
8000,456,D,79.2029121883385,4.372013068199157,0.013327507318234918,0.1947351,0.00747157399268438
9000,456,D,74.92556802599016,4.316495194435119,0.014314508662504303,0.19525151,0.008509695765872618
10000,456,D,71.63002536077003,4.27151433467865,0.012528486364028042,0.1991422,0.00851874483303979
11000,456,D,68.88781520200266,4.232479314804078,0.01539911055097393,0.19797873,0.00868188587042954
12000,456,D,66.91084094488369,4.203361001014709,0.011786267448874087,0.20499519,0.009542538678122551
13000,456,D,65.36252103530087,4.179949021339416,0.013878958122403019,0.20216286,0.008910746812386157
14000,456,D,63.80145618636704,4.155776014328003,0.014573598412906424,0.20267665,0.009799479699511853
15000,456,D,62.98956507972716,4.1429690790176394,0.012796913614460064,0.20496815,0.009572146299307173
16000,456,D,62.11009102164722,4.128908472061157,0.010774149539423931,0.2067563,0.009514106238409722
17000,456,D,61.689104352752075,4.122107324600219,0.012660488465253045,0.20585024,0.009432784983887188
18000,456,D,61.43765838695435,4.1180229759216305,0.012550014439751131,0.20603587,0.009313189032765092
19000,456,D,61.329238573920904,4.1162567043304445,0.012011615435282385,0.20646471,0.009593488768419351
20000,456,D,61.296644205831136,4.11572509765625,0.012337409374760657,0.20620745,0.009434031579024709
